Text,GPT,Gemini,Deepseek,p1_Reasoning,p2_Reasoning,p3_Reasoning
He ki manush ar jater ni kuttar baccha,Racism,Racism,Racism ,Social/ personal ,Social/ personal ,Social/ personal 
Tr to nijer e bici nai,Gender,Gender,No,Social/ personal ,Gender,Gender 
Mc er bari koi 🤬😡🤬,No,Social/ Personal ,Social / Personal ,Geopolitical ,No,Social/ personal 
Eta 100% sure bhadro masher kutta'r baccha. ,Social / Personal,Social/ Personal ,Social/ Personal ,Social/ personal ,Social / Personal,Social/ personal 
"Keu hotash hoben na karon hujur makhraj o sifat shoho aday kore English uccharon kortese, keu hasben na 🫣🫣",Religious,No,Religious ,Social/ personal ,Religious,No 
Magir putere policer hate na toilla pabliker kache dewa hok,Social / Personal ,Social/ Personal ,Social/ Personal ,Social/ personal ,Social / Personal ,Racism 
Tor bap Awamilig.,Political,No,Political ,Political ,No,Political 
Egula kivabe je Doulatdia theke palaiya asiyache... Doulodia thanar OC sahebke suspend kora uchit.,Geopolitical,No,No,Racism ,No,Gender 
Hujurgula Allah'r naam bad diya ekhon khali Awami League Awami League jikir pare. 😂😂😂,Religious ,Political ,Religious-Political ,Religious ,No,Religious 
Kuttar bacha manush hoilo na amgo ijjot r rhaklo na shob gular shasti chay dhorkar porle 2 gramer shob gulare shasti hok,Social / Personal,Social/ personal ,Social/ Personal ,Social/ personal ,Geopolitical ,Social/ personal 
nesha khor er moto cehara niye manus k bichar korte ase,Social / Personal,Derogatory ,Social / Personal ,Racism ,Social/ Personal ,Social/ personal 
Madarchod ai kuttar bacha ke pakistan pathanor babostha kora hok,Geopolitical,Political,Geopolitical,Political,Geopolitical,Political
Kichu manushke thik ebhabey tha-praite parle khub bhalolagto..,NO,Social / Personal,NO,Social / Personal,Social / Personal,Social / Personal
Seriously!!! Koto cheap lok! Eijonnoi to education r family status dorkar.,Social / Personal,NO,Social / Personal,Social / Personal,Generally bolse,Social / Personal
NCP = Notional condom party,Political,Political,Political,Social / Personal,NO,Political
Baby Tariq X Baby Joy. Two babys corrupted by their mommys' poison milk.,Political,Social / Personal," 
         
Religious",Social / Personal,Political,Geopolitical
Tor heda,NO,Social / Personal,NO,Social / Personal,Social / Personal,It is a hate speech if it's about disrespecting someone's opinion..but like if someone says something that is kind of bullying or mocking the other person..then that's just a way of saying you're wrong 
Bd er moton ajaira public kothao nai… not even in india,Geopolitical,Social / Personal,Geopolitical,NO,Political,Social / Personal
Tui tokai tor choddo gushti tokai,Social / Personal,Social / Personal,NO,Social / Personal,Social / Personal,Social / Personal
"phensedyl khor atril, tar bondhu , insomniac jawad, booba jeen e akranto hoie dekhlo arek Neshakhor tahmid ekakitte train er nari dekhche .",Social / Personal,NO,Social / Personal,Social / Personal,NO,Social / Personal
"Jegechere jegechere 500 takar kamlara, rastaghat bondho kore jegeche, shadharôn manushke bhoganti korte jegeche.",Political,Social / Personal,Social / Personal,NO,Political,Political
Brikrito mostishko,NO,NO,NO,NO,Social / Personal,Social / Personal
Dhonnobad mugdho panir bottle kobor theke uthe esheche.,NO,NO,Religious,Social / Personal,Religious,Political
facist govt er oshikkhito lok der theke bhalo ki asha kora jai chotka? lol 15 bochor porashuna korenai... dokane khali editing shikhlo..,Political,Political,Political,NO,Political,Political
Musolman shomprodayer Bhagoban 🤣,Religious,Religious,Religious,Religious,Religious,Social / Personal
"gaja khor,magibaji,casino jader nesha tader jonno egula suta ghotona, bichar Prokiyadhin inshallah ektaw sar pabena",Social / Personal,Social / Personal,Religious,Geopolitical,NO,Religious
Neta giri hoga die bhore daw halay fensi khaite gesilo,Political,Political,Political,Political,Political,Political
tui to ekta pure harami.....tor moto luicha....na thak Bhalo kisui likhi tor birthday jehetu..,NO,NO,Social / Personal,NO,Social / Personal,Social / Personal
ei bostire kibria vai ante gelo ken,NO,NO,Social / Personal,Racism,Social / Personal,Social / Personal
Saddam bhai cooks mAgi noodles,NO,NO,NO,For using slang,Social / Personal,Gender Abuse
Kire Hasnat Abdullah ganja khais na mod khais?,NO,Social / Personal,Social / Personal,Political,Social / Personal,Social / Personal
Khomotar lobh samal dite parchena.,NO,NO,NO,Political,Political,Political
"Resign kor bhai, apnar theke bhalo lo amar bashar buyao bujhe.",NO,NO,Social / Personal,Social / Personal,Social / Personal,Social / Personal
Rumin Farhana bujhte parlo ar sangbadik hoye bujhlen na? Byaparta kemon holo? Ekhane apni sangbadik hoye marata khelcen ar ki 🤣.,NO,NO,Political,Political,Social / Personal,Political
Terrorist der human rights ase je jantam na,NO,NO,Geopolitical,Social / Personal,Racism,Racism
"Natok korar jaiga pai na...ai mohila nijei to tader relation er bepare konodin sotti kotha bole nai...tar aktai uttor, a beppar a ami kisu bolte chai na,pore janabo,secret ai sei...r akhon abar onno kotha.uchit shikkha hoise,faltu mohila akta",Gender ,Social / Personal,Gender,Social / Personal,Geopolitical,Social / Personal
Tora desh dhongser karigor.,Political,Political,Political,Geopolitical,Racism,NO
Tor chokh tera,Social / Personal,NO,Social / Personal,Social / Personal,Religious,Racism
Ay tv channel gulo r kono kaj nai akta vlo news kor asob tokay k niya ki kore,NO,NO,NO,Social / Personal,NO,Social / Personal
Tui putki mara kala,Social / Personal,Social / Personal,Racism,Social / Personal,Geopolitical,Social / Personal
ore amr kase niya aishen ore sep chhara goa mara uchit ,Social / Personal,Social / Personal,Social / Personal,Social / Personal,Social / Personal,Social / Personal
Tore kutta diye chodabo,Social / Personal,Social / Personal,Gender,Racism,bad language,Social / Personal
amr kuri bosorer oviggotay emn bainchod r dekhi nai,Social / Personal,Social / Personal,Gender,Social / Personal,humiliate,Social / Personal
Hala cool hote giya clown 🤡 hoya gelo.,NO,NO,NO,Social / Personal,Social / Personal,NO
togo Abba BNP tk na khaia sob korbo togo abba BNP re loia ay trpr desh Europe hoia jaibo Bandirpolara,Political,Political,Political,Social / Personal,Geopolitical,Political
Natokir put bollo naki cheleta?,Gender,NO,NO,Social / Personal,Social / Personal,NO
vai sob bad halara ki kortese pichone 😂,NO,NO,NO,NO,NO,Social / Personal
Tui chashir meye chashara,Social / Personal,Social / Personal,Social / Personal,Social / Personal,What that does even mean?,Social / Personal
Dhon bolechen Apu shei hoyeche,NO,NO,Gender,Social / Personal,Social / Personal,NO
Tor dorkar kaan mola,Social / Personal,NO,Social / Personal,NO,Social / Personal,NO
"Sob muslim jongi na, kintu sob jongi muslim",Religious,Religious,Religious,Religious,Religious,Religious
Tor Jonno shahabagi dorkar,Political,NO,NO,Racism,Social / Personal,Social / Personal
Yunus ekjon nobir naam na hole kije gali ditam ar kichu komuna.,Religious,NO,Social / Personal,Geopolitical,Political,Political
"Ora dhorshon korleo jayez, boltkar korleo jayez. Apnara shudhu chaia chaia upovog korun.",Gender,Social / Personal,Gender,Gender Abuse,Gender Abuse,Gender Abuse
Archii ashbi naki chung chang bia korbi?,Racism,Racism,Racism,Social / Personal,Racism,Racism
 beporda Meye der dhorey dhorey dhorshon kora houk,Gender,Gender,Gender,Religious,Gender Abuse,Religious
Etai fokinnir pular bari. Ekhon fokinni pula angul puilla moda oise 😂😂😂.,Social / Personal,Social/Personal,Gender,Social / Personal,Social / Personal,Social / Personal
Malaun er baccha malaun amar rob er kocom ture jodi amar samne pai ak bindu poriman somoy nimu na tore jobai korte,Religious,Religious,Religious,Religious,Religious,Religious
Bhaiyar matha kharap hoye gese ei gorome,NO,NO,NO,No,No,NO
achoda Kotha batra bolbina,Social / Personal,NO,NO,Social / Personal,Social / Personal,Social / Personal
Asta Bayadob.NirLojjo,Social / Personal,NO,Social /Personal,Social / Personal,Social / Personal,Social / Personal
Ei malaun gula muslim marar jnno india theke israel porjonto chole jacche.,Religious,Religious,Religious,Religious,Religious,Religious
Dash toh putki Maira ee desy ahn bisti bilash koruk 🥰,Gender,Social / Personal,Gender,Idk what it means ,Political,Political
Newton’er tritiyo sutro eto taratari karyokor hoy kivabe?,NO,NO,NO,Idk what it means ,NO,Social / Personal
Paltu bokta bhikkha chaite asche.,Social / Personal,NO,Political,Political,Political,Social / Personal
Shala Kailla choda,Social / Personal,Racism,Social / Personal,Racism,Racism,Racism
Batpar-er arek naam Jamaat-e-Islami,Political,NO,Political,Religious,Political,Religious
Ekhane jara ache tader purushotto thik ache kina amar shondeho ache.,Social / Personal,Gender,Gender,Social / Personal,Social / Personal,Social / Personal
Mal beshi khaise,Social / Personal,NO,NO,Social / Personal,NO,Social / Personal
😂era sustho? Manush etao bojhe na?,Social / Personal,NO,NO,Gender Abuse,Gender Abuse,NO
Chapris Tokais 😂😂😂😂😂😂😂Village Er Chacha To Viyas 😂,Social / Personal,NO,Social / Personal,Geopolitical,Social / Personal,Social / Personal
Atto faltu kotha bolar pore mukh jole uthe na?,Social / Personal,NO,NO,No,No,Social / Personal
we are fucking awoamilig,Political,Political,Racism,Political,Political,Political
"We are officially back baby 🔥 Jhoi Bangla, Jhoi Bongoboltu, Jhoi Hind ✊",Political,Political,Geopolitical,Geopolitical,Racism,NO
"Pura party toh youth wing, er cheye bhalo buira wing khuluk",Political,NO,Political,Political,Racism,Social / Personal
Abar koy tarc bole madrasa hoye gese😵‍💫,Religious,NO,Religious,Social / Personal,Social / Personal,Religious
Sheikh mujib jaroz,Political,Political,Political,Political,Political,Political
Ami chinta kori tor naam ke je Ahmadullah rakhl. Tor naam Ahmad Ullah na rekhe. Ahamok rakha dorkar chilo thik kina? ...,Social / Personal,Social / Personal,Religious,Social / Personal,Political,Social / Personal
"Awami League er slogan ar hindhuder slogan same same... Just sounds different.. (Joy Bongo bondhu = Joy shree ram) Hindhu ra ramer puja kre, ar Awami League sheikh mujib o ar bindia'r puja kre....",Religious,Religious,Religious,Religious,Religious,Religious
mojiber jaroz pola post dise,Political,Political,Political,Political,Political,Political
Kawwa jotoi moyur shajte chay kawwa kawwa e thake kokhono moyur hoite parbe na,NO,NO,Social / Personal,Racism,Racism,Social / Personal
Boin Allah er waste tor jibba ta mukher bhitor dhuka,Gender,Social / Personal,Religious,NO,NO,Social / Personal
Thapray bang banai dibo,Social / Personal,Social / Personal,Geopolitical,Gender Abuse,violence,Social / Personal
Hamla-kari meyeta ki Muslim?,Religious,NO,Religious,Gender Abuse,Religious,NO
"Trump paglar boyosh hoyeche, ager moto khepate nai. Na hole American-er moddhe je Palestine supporter ase, oder eto din thakte ditona. Ekhon ja korar, Netanyahur-i korte hobe. Onk Muslim mone kore, onno dhormer manush mere swargo pawa jai — ar jodi Yahudi mare, taile jannatul ferdous er moto uchchotor level er swargo. Ei dhoroner conviction-e driven manushke control kora khub tough.",Religious,Religious,Religious,Gender Abuse,NO,Political
Fackistan 😄,Geopolitical,Geopolitical,Geopolitical,Gender Abuse,Political,NO
Pakistan holo prithibir jogonnatom rastro.,Geopolitical,NO,Geopolitical,Political,Political,NO
Post kari potitar son.,NO,Social / Personal,Social / Personal,Social / Personal,Social / Personal,Social / Personal
"Emon hazaro gorbhoboti narike guli kore, bombing kore hotya korche – tokhon tomar brain ki nitombe chilo, Chadu?",Political,NO,Gender,Political,Social / Personal,Geopolitical
"Shobkichur mule ase oi noshto bam-gula. Multiculturalism ar uddeshyomulok ""Muslim invasion"" nam diye Europe-ke ei bamgula noshto kortese.",Political,Political,Religious,Social / Personal,Religious,Geopolitical
Muminra jole charakhara hoye jacche 🤣🤣🤣🤣🤣🤣,Religious,Religious,Religious,Religious,Religious,Religious
"Sara duniya ekdin Islam-er shadow'r niche chole ashbe, In Sha Allah.",NO,NO,Religious,NO,NO,NO
Ei chorie pora ☪️ancer ke rodh korte hobe. Nahole era nij desher moto onno desh-gulokeo bhagar baneye felbe.,Religious,Religious,Religious,Geopolitical,Political,Religious
Manushke niye ninda kora thik na. Tobe eder niye kora jay 🙃,Social / Personal,NO,Social / Personal,Racism,Racism,"Clearly its a criticism, the speech is like the targeted peoples are somehow less deserving of respect"
Uhhhhhh gondhoo ek shahbagi arek shahbagi er gondhe nak dhore rakhse taile bujhen shadharon manush eishob shahbagi der shamne kemne jabe?🙂,Political,Social / Personal,Political,Social / Personal,Social / Personal,Gender Abuse
"Beshi kichu na porda, biri khawa, freedom ei shob niye kotha bolen shob nari badi ber hoye ashbe 😆",Gender,Gender,Gender,Gender Abuse,Racism,Gender Abuse
Bastobe oshob howa onek kothin.Tai byashabrittikei sohoj mone kore..Mindset mindset,Gender,NO,Social / Personal,Gender Abuse,Gender Abuse,Social / Personal
Shabagi is shabagi.Pootki hoyto hoy but never a pookie.,Political,Social / Personal,Social / Personal,Gender Abuse,Political,Gender Abuse
Erpor bier porer din dhorshon mamla khaile ter paiben 😑,Gender,Gender,Gender,Gender Abuse,Gender Abuse,Just disgusting 
Vai apnara je ere niya video banaisen tara to akhn aro beshi andolon korbo koibo ai video ta banaisen rape er jonno🙂,Gender,NO,Gender,Gender Abuse,Social / Personal,Gender Abuse
Boin tui nekami koros? Ole le le le kichui bujhos na?,Gender,NO,Gender,Social / Personal,Social / Personal,Gender Abuse
