Text,GPT,Gemini,Deepseek,p1_Reasoning,p2_Reasoning,p3_Reasoning
Tore kutta diye chodabo,Social / Personal,Social / Personal,Gender Abuse,Racism,Social / Personal,Social / Personal
amr kuri bosorer oviggotay emn bainchod r dekhi nai,Social / Personal,Social / Personal,Gender Abuse,Social / Personal,Social / Personal,Social / Personal
Hala cool hote giya clown 🤡 hoya gelo.,NO,NO,NO,Social / Personal,Social / Personal,NO
togo Abba BNP tk na khaia sob korbo togo abba BNP re loia ay trpr desh Europe hoia jaibo Bandirpolara,Political,Political,Political,Social / Personal,Geopolitical,Political
Natokir put bollo naki cheleta?,Gender Abuse,NO,NO,Social / Personal,Social / Personal,NO
vai sob bad halara ki kortese pichone 😂,NO,NO,NO,NO,NO,Social / Personal
Dhon bolechen Apu shei hoyeche,NO,NO,Gender Abuse,Social / Personal,Social / Personal,NO
Tor dorkar kaan mola,Social / Personal,NO,Social / Personal,NO,Social / Personal,NO
"Sob muslim jongi na, kintu sob jongi muslim",Religious,Religious,Religious,Religious,Religious,Religious
Tor Jonno shahabagi dorkar,Political,NO,NO,Racism,Social / Personal,Social / Personal
Yunus ekjon nobir naam na hole kije gali ditam ar kichu komuna.,Religious,NO,Social / Personal,Geopolitical,Political,Political
"Ora dhorshon korleo jayez, boltkar korleo jayez. Apnara shudhu chaia chaia upovog korun.",Gender Abuse,Social / Personal,Gender Abuse,Gender Abuse,Gender Abuse,Gender Abuse
Archii ashbi naki chung chang bia korbi?,Racism,Racism,Racism,Social / Personal,Racism,Racism
beporda Meye der dhorey dhorey dhorshon kora houk,Gender Abuse,Gender Abuse,Gender Abuse,Religious,Gender Abuse,Religious
Etai fokinnir pular bari. Ekhon fokinni pula angul puilla moda oise 😂😂😂.,Social / Personal,Social / Personal,Gender Abuse,Social / Personal,Social / Personal,Social / Personal
Malaun er baccha malaun amar rob er kocom ture jodi amar samne pai ak bindu poriman somoy nimu na tore jobai korte,Religious,Religious,Religious,Religious,Religious,Religious
Bhaiyar matha kharap hoye gese ei gorome,NO,NO,NO,NO,NO,NO
achoda Kotha batra bolbina,Social / Personal,NO,NO,Social / Personal,Social / Personal,Social / Personal
Asta Bayadob.NirLojjo,Social / Personal,NO,Social / Personal,Social / Personal,Social / Personal,Social / Personal
Ei malaun gula muslim marar jnno india theke israel porjonto chole jacche.,Religious,Religious,Religious,Religious,Religious,Religious
Paltu bokta bhikkha chaite asche.,Social / Personal,NO,Political,Political,Political,Social / Personal
Shala Kailla choda,Social / Personal,Racism,Social / Personal,Racism,Racism,Racism
Batpar-er arek naam Jamaat-e-Islami,Political,NO,Political,Religious,Political,Religious
Ekhane jara ache tader purushotto thik ache kina amar shondeho ache.,Social / Personal,Gender Abuse,Gender Abuse,Social / Personal,Social / Personal,Social / Personal
Mal beshi khaise,Social / Personal,NO,NO,Social / Personal,NO,Social / Personal
😂era sustho? Manush etao bojhe na?,Social / Personal,NO,NO,Gender Abuse,Gender Abuse,NO
Chapris Tokais 😂😂😂😂😂😂😂Village Er Chacha To Viyas 😂,Social / Personal,NO,Social / Personal,Geopolitical,Social / Personal,Social / Personal
Atto faltu kotha bolar pore mukh jole uthe na?,Social / Personal,NO,NO,NO,NO,Social / Personal
we are fucking awoamilig,Political,Political,Racism,Political,Political,Political
"We are officially back baby 🔥 Jhoi Bangla, Jhoi Bongoboltu, Jhoi Hind ✊",Political,Political,Geopolitical,Geopolitical,Racism,NO
"Pura party toh youth wing, er cheye bhalo buira wing khuluk",Political,NO,Political,Political,Racism,Social / Personal
Abar koy tarc bole madrasa hoye gese😵‍💫,Religious,NO,Religious,Social / Personal,Social / Personal,Religious
Sheikh mujib jaroz,Political,Political,Political,Political,Political,Political
Ami chinta kori tor naam ke je Ahmadullah rakhl. Tor naam Ahmad Ullah na rekhe. Ahamok rakha dorkar chilo thik kina? ...,Social / Personal,Social / Personal,Religious,Social / Personal,Political,Social / Personal
"Awami League er slogan ar hindhuder slogan same same... Just sounds different.. (Joy Bongo bondhu = Joy shree ram) Hindhu ra ramer puja kre, ar Awami League sheikh mujib o ar bindia'r puja kre....",Religious,Religious,Religious,Religious,Religious,Religious
mojiber jaroz pola post dise,Political,Political,Political,Political,Political,Political
Kawwa jotoi moyur shajte chay kawwa kawwa e thake kokhono moyur hoite parbe na,NO,NO,Social / Personal,Racism,Racism,Social / Personal
Boin Allah er waste tor jibba ta mukher bhitor dhuka,Gender Abuse,Social / Personal,Religious,NO,NO,Social / Personal
Hamla-kari meyeta ki Muslim?,Religious,NO,Religious,Gender Abuse,Religious,NO
"Trump paglar boyosh hoyeche, ager moto khepate nai. Na hole American-er moddhe je Palestine supporter ase, oder eto din thakte ditona. Ekhon ja korar, Netanyahur-i korte hobe. Onk Muslim mone kore, onno dhormer manush mere swargo pawa jai — ar jodi Yahudi mare, taile jannatul ferdous er moto uchchotor level er swargo. Ei dhoroner conviction-e driven manushke control kora khub tough.",Religious,Religious,Religious,Gender Abuse,NO,Political
Fackistan 😄,Geopolitical,Geopolitical,Geopolitical,Gender Abuse,Political,NO
Pakistan holo prithibir jogonnatom rastro.,Geopolitical,NO,Geopolitical,Political,Political,NO
Post kari potitar son.,NO,Social / Personal,Social / Personal,Social / Personal,Social / Personal,Social / Personal
"Emon hazaro gorbhoboti narike guli kore, bombing kore hotya korche – tokhon tomar brain ki nitombe chilo, Chadu?",Political,NO,Gender Abuse,Political,Social / Personal,Geopolitical
"Shobkichur mule ase oi noshto bam-gula. Multiculturalism ar uddeshyomulok ""Muslim invasion"" nam diye Europe-ke ei bamgula noshto kortese.",Political,Political,Religious,Social / Personal,Religious,Geopolitical
Muminra jole charakhara hoye jacche 🤣🤣🤣🤣🤣🤣,Religious,Religious,Religious,Religious,Religious,Religious
"Sara duniya ekdin Islam-er shadow'r niche chole ashbe, In Sha Allah.",NO,NO,Religious,NO,NO,NO
Ei chorie pora ☪️ancer ke rodh korte hobe. Nahole era nij desher moto onno desh-gulokeo bhagar baneye felbe.,Religious,Religious,Religious,Geopolitical,Political,Religious
Manushke niye ninda kora thik na. Tobe eder niye kora jay 🙃,Social / Personal,NO,Social / Personal,Racism,Racism,Social / Personal
Uhhhhhh gondhoo ek shahbagi arek shahbagi er gondhe nak dhore rakhse taile bujhen shadharon manush eishob shahbagi der shamne kemne jabe?🙂,Political,Social / Personal,Political,Social / Personal,Social / Personal,Gender Abuse
"Beshi kichu na porda, biri khawa, freedom ei shob niye kotha bolen shob nari badi ber hoye ashbe 😆",Gender Abuse,Gender Abuse,Gender Abuse,Gender Abuse,Racism,Gender Abuse
Bastobe oshob howa onek kothin.Tai byashabrittikei sohoj mone kore..Mindset mindset,Gender Abuse,NO,Social / Personal,Gender Abuse,Gender Abuse,Social / Personal
Shabagi is shabagi.Pootki hoyto hoy but never a pookie.,Political,Social / Personal,Social / Personal,Gender Abuse,Political,Gender Abuse
Vai apnara je ere niya video banaisen tara to akhn aro beshi andolon korbo koibo ai video ta banaisen rape er jonno🙂,Gender Abuse,NO,Gender Abuse,Gender Abuse,Social / Personal,Gender Abuse
Boin tui nekami koros? Ole le le le kichui bujhos na?,Gender Abuse,NO,Gender Abuse,Social / Personal,Social / Personal,Gender Abuse
